"","Columbicola_altamimiae","Columbicola_drowni","Columbicola_gymnopeliae","Columbicola_passerinae_1","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_1","Columbicola_passerinae_2","Columbicola_passerinae_2","Columbicola_passerinae_1","Columbicola_altamimiae","Columbicola_altamimiae","Columbicola_gymnopeliae","Columbicola_gymnopeliae","Columbicola_drowni","Columbicola_drowni","Columbicola_passerinae_1","Columbicola_passerinae_1"
"Columbicola_altamimiae",0,0.0130582287835273,0.0137820934207314,0.0146367541062179,0.0142180404639286,0.0140136251192222,0.0143973274219061,0.0147221020140088,0.0141935213844538,0.013972743203018,0.014056658424861,0.0140917845821035,0.0138184485480405,0.0141797786252089,0.0147437118225411,0.0150053683622588,0.0143109518056062,0.0146087856221096,0.0141666753298548,0.0144393783867657,0.0145213239365573,0.0145974577471839,0.014511696085018,0.0146080858973412,0.0142023481767663,0.0138765391165433,0.013933530546188,0.0142857142857143,0.00129115126539514,0.00126182904107782,0.0139018430480882,0.0137280084613714,0.0127184301306339,0.0127642769098574,0.0147274565006606,0.0147086060152511
"Columbicola_drowni",0.0130582287835273,0,0.00629793167557518,0.00813940301433742,0.00789061163338065,0.00727385768972137,0.00770940577465765,0.00810929246399487,0.00772407985601485,0.00718185304560244,0.0075909768840072,0.00740017342018028,0.00712578445154578,0.0073170754705417,0.00810282832444044,0.00854593764287067,0.00761036196576606,0.0078181728790996,0.00775658448046244,0.00790750687753352,0.00761627806338821,0.00781382723604516,0.00792547832027955,0.00770991166752994,0.00773670225164328,0.00734547363916739,0.00728061270707861,0.00763152684533559,0.0129512362283343,0.0129458078857988,0.00639345471590819,0.00594310064387494,0.00133293645995145,0.00164259715536247,0.00797112012575521,0.00783024221860914
"Columbicola_gymnopeliae",0.0137820934207314,0.00629793167557518,0,0.00869690670142073,0.00833546812484571,0.00787684778822381,0.00827471878187108,0.00868751759983582,0.00828749570737498,0.00776715724910792,0.00811354486098365,0.00805721377172372,0.0076861421641004,0.00788726519507236,0.0086743744914036,0.00911070034125496,0.00822939978806477,0.00840812712791829,0.00826412042246161,0.00844121605287253,0.00821326691669442,0.00840853138974312,0.00850601110824682,0.00834923351452362,0.00832876979512839,0.0079088964280312,0.00790265565659079,0.00821018218631186,0.0136474939310902,0.0136701172308735,0.000663267887154525,0.00108667553428997,0.00590270481222419,0.00597665352213658,0.00861342299691423,0.00845006361980728
"Columbicola_passerinae_1",0.0146367541062179,0.00813940301433742,0.00869690670142073,0,0.00274954526751345,0.00246872910644287,0.00286956868070754,0.00319188810636997,0.00277988841480734,0.00244945652066643,0.00264093611645825,0.00260511734689739,0.00238639917052056,0.00112346620531735,0.00148432673925327,0.0012410142840447,0.00128297804580909,0.00111972108765635,0.00116947590190001,0.000805851480495065,0.000768561557008277,0.000714166176934184,0.000677480584044318,0.000739694902373774,0.00104701605263336,0.00239761188936277,0.00255016454864027,0.00100550869509716,0.0145358934344549,0.0145038799648645,0.00870376761436272,0.00845454997256851,0.00766797214927322,0.00777138217511708,0.000867205020356699,0.000816754129846446
"Columbicola_passerinae_2",0.0142180404639286,0.00789061163338065,0.00833546812484571,0.00274954526751345,0,0.00108373672422513,0.0014784571677586,0.00173477419924551,0.00124996174090248,0.00100933875955878,0.00112628957253247,0.00120201579317907,0.000904213018060049,0.00220917826862251,0.00283762361715211,0.00314552926470743,0.00248606467085499,0.00261883235221595,0.00233610732423484,0.00262655431271513,0.00255185374496067,0.00258414656566452,0.00261101228443074,0.00259940999438267,0.00239431106471816,0.00096770731752838,0.00105601841875235,0.00236745291588445,0.0140951984470647,0.0140557931600886,0.00840624014272169,0.00807591188276557,0.0074186679473368,0.00748683990253157,0.00281243413435246,0.00267098560116335
"Columbicola_passerinae_2",0.0140136251192222,0.00727385768972137,0.00787684778822381,0.00246872910644287,0.00108373672422513,0,0.00130220761044903,0.00150294358402202,0.00112479097135871,0.000900494409749864,0.000955149988854954,0.00103476821192053,0.00085229252562999,0.00211932958001683,0.00260660669792441,0.00288091478460744,0.00225667653450068,0.00244643592913061,0.00210791301446726,0.00235855377770631,0.00239412785204232,0.00240969789738703,0.00238015306911497,0.00245745784829432,0.00216709357561006,0.000849462903483081,0.000887584289852393,0.00219496153081359,0.01390274825131,0.0138911193190943,0.0079347557272089,0.0077434142555858,0.00683287585079439,0.00688253573062106,0.00265284393703466,0.00251617439561321
"Columbicola_passerinae_2",0.0143973274219061,0.00770940577465765,0.00827471878187108,0.00286956868070754,0.0014784571677586,0.00130220761044903,0,0.00188245776898639,0.00145817688103326,0.00126743075727554,0.00132865687704221,0.00138222499911585,0.00123750996856969,0.00246361283697925,0.00304673907999276,0.00327339019793465,0.00263662723664392,0.00285850722189246,0.00247287065441845,0.0026966322165935,0.00277201749751533,0.00278187247231357,0.00278006734943416,0.00285052606697751,0.00250995562421035,0.00117923973388521,0.00123009905683001,0.00255459116536428,0.0142827480399432,0.0142744202389318,0.00831122232189226,0.00813225004233084,0.00722724560171021,0.00727946547683178,0.00301414850304789,0.00291225319947946
"Columbicola_passerinae_2",0.0147221020140088,0.00810929246399487,0.00868751759983582,0.00319188810636997,0.00173477419924551,0.00150294358402202,0.00188245776898639,0,0.00163908843325094,0.00147375438202117,0.00156910780786467,0.00163170766166343,0.00145955618433308,0.00275713962413147,0.00333164524848961,0.00357444950748997,0.00294835460547498,0.00313821659000401,0.00279065045905913,0.0030703917529761,0.00300553346995739,0.00310511370717407,0.00312162015233277,0.00306186862666944,0.00284390934979322,0.0014019003963138,0.00150251054812043,0.00282426939898311,0.0145948607448069,0.0146133089067726,0.00875546677779854,0.00853879201997118,0.00764342438442075,0.00770281406421682,0.00327904751476952,0.00316427259013397
"Columbicola_passerinae_2",0.0141935213844538,0.00772407985601485,0.00828749570737498,0.00277988841480734,0.00124996174090248,0.00112479097135871,0.00145817688103326,0.00163908843325094,0,0.00103143561938011,0.00117435607335429,0.00117824308569576,0.000987983501865861,0.00227992552644323,0.00287993574836374,0.0031645313335169,0.00246421680985439,0.00265234953210065,0.00238508995125255,0.00259717016039512,0.00258437879812655,0.00261084363071877,0.00262969872583654,0.00262004833195218,0.00240708646254573,0.00097595845971317,0.00108340963211739,0.00237766520907489,0.0140689039483829,0.0140386796376196,0.00833220498279597,0.00804251557114832,0.00729233667416079,0.00735975214266871,0.00285008136011115,0.00266935426101768
"Columbicola_passerinae_2",0.013972743203018,0.00718185304560244,0.00776715724910792,0.00244945652066643,0.00100933875955878,0.000900494409749864,0.00126743075727554,0.00147375438202117,0.00103143561938011,0,0.000794459900500066,0.00100913696894665,0.000761313461051051,0.00209271617440712,0.00262161486863096,0.00282217470363751,0.00221036994612783,0.00245952770511892,0.00205696035702544,0.00229402846298158,0.0023771906940752,0.0023787982181057,0.00235643401889345,0.00241521049283246,0.00211877359499901,0.000841499990448354,0.000871824596148502,0.00216127395307252,0.0138585102442638,0.0138587077691404,0.00784628039906351,0.00772089622274872,0.00673089739864577,0.00679482660966424,0.00264243907498456,0.00250449071219546
"Columbicola_passerinae_2",0.014056658424861,0.0075909768840072,0.00811354486098365,0.00264093611645825,0.00112628957253247,0.000955149988854954,0.00132865687704221,0.00156910780786467,0.00117435607335429,0.000794459900500066,0,0.00105509264462718,0.000838208295733889,0.00215180640810304,0.00271256151002522,0.00302776659321217,0.00235671963222238,0.00254977117942404,0.00227921339818424,0.00248639866079122,0.00244859885732053,0.00248301481010802,0.0024892190561387,0.00250812051426682,0.00230338095080609,0.000880962926549108,0.000955801481394964,0.00226554288391209,0.0139282163451979,0.0139311864841633,0.00814919689498609,0.00785800798714856,0.00713497200182327,0.00721087483134446,0.00273882133561245,0.00256273535200325
"Columbicola_passerinae_2",0.0140917845821035,0.00740017342018028,0.00805721377172372,0.00260511734689739,0.00120201579317907,0.00103476821192053,0.00138222499911585,0.00163170766166343,0.00117824308569576,0.00100913696894665,0.00105509264462718,0,0.00091204318245272,0.00221897885385435,0.00272609998924168,0.00296350842578873,0.00237879509034631,0.00259300008920872,0.00223774460557781,0.00249159694766951,0.00252636954764614,0.00253078197909714,0.00255103792229191,0.00254112926452235,0.00228107784607385,0.000993598554765739,0.00102236045564702,0.00229900809965877,0.0139915813876071,0.0139875032607278,0.00807302950328908,0.00786684749106152,0.00697385101372017,0.00702914076725058,0.00274859462438321,0.00261780104712042
"Columbicola_passerinae_2",0.0138184485480405,0.00712578445154578,0.0076861421641004,0.00238639917052056,0.000904213018060049,0.00085229252562999,0.00123750996856969,0.00145955618433308,0.000987983501865861,0.000761313461051051,0.000838208295733889,0.00091204318245272,0,0.00197441394042149,0.00246987684591913,0.00271401434029092,0.00217755066672802,0.00233835094600371,0.00200865963855422,0.00222206150209454,0.00228065326076593,0.00227926023877606,0.00229656488942691,0.00230892954215571,0.00206724305715716,0.000716823682953764,0.000816170483114829,0.00207699224906417,0.0137115730506118,0.0137031861293532,0.00776963329100543,0.0076114377076318,0.00667238612354403,0.00675275208354986,0.00251172824070791,0.00242031753890935
"Columbicola_passerinae_1",0.0141797786252089,0.0073170754705417,0.00788726519507236,0.00112346620531735,0.00220917826862251,0.00211932958001683,0.00246361283697925,0.00275713962413147,0.00227992552644323,0.00209271617440712,0.00215180640810304,0.00221897885385435,0.00197441394042149,0,0.00126736185612725,0.00144445909369402,0.000911139220491739,0.00113865816162636,0.000712432953781269,0.000977789121880119,0.0011427562543593,0.00105717993449668,0.00104622498188498,0.00112863624534685,0.000783533480186646,0.00202517819861537,0.00208812414950665,0.000801120609427319,0.014068379338934,0.0140192957539546,0.00797086073306799,0.00782150800351434,0.00686615281469471,0.00693375882116625,0.00127009970471124,0.00122303547560177
"Columbicola_passerinae_1",0.0147437118225411,0.00810282832444044,0.0086743744914036,0.00148432673925327,0.00283762361715211,0.00260660669792441,0.00304673907999276,0.00333164524848961,0.00287993574836374,0.00262161486863096,0.00271256151002522,0.00272609998924168,0.00246987684591913,0.00126736185612725,0,0.00188589923192116,0.00134760408986521,0.0015658073503198,0.00123755099563585,0.00136404216269651,0.0014769014742832,0.00150140175119249,0.00141233610014095,0.00151036039348565,0.0011757484181698,0.00251433007208819,0.00261905144747757,0.00121388361448434,0.0146253256944928,0.0145943483834995,0.00874771196159893,0.00854496967300831,0.00765315800655578,0.00772228841836128,0.0017310141446164,0.00162317251289226
"Columbicola_passerinae_1",0.0150053683622588,0.00854593764287067,0.00911070034125496,0.0012410142840447,0.00314552926470743,0.00288091478460744,0.00327339019793465,0.00357444950748997,0.0031645313335169,0.00282217470363751,0.00302776659321217,0.00296350842578873,0.00271401434029092,0.00144445909369402,0.00188589923192116,0,0.00166154042549796,0.00137104998365025,0.00148099502065978,0.00122053017265254,0.00114713167931428,0.00111563342811878,0.00116575480226747,0.00119478096641946,0.00130478038915075,0.00282413350449294,0.00290564585938251,0.00139591728170834,0.014903570333928,0.0149001451798784,0.00917225109639926,0.00888139784219219,0.00805522259779002,0.00816165585577461,0.00130753764319453,0.00122400550754403
"Columbicola_passerinae_1",0.0143109518056062,0.00761036196576606,0.00822939978806477,0.00128297804580909,0.00248606467085499,0.00225667653450068,0.00263662723664392,0.00294835460547498,0.00246421680985439,0.00221036994612783,0.00235671963222238,0.00237879509034631,0.00217755066672802,0.000911139220491739,0.00134760408986521,0.00166154042549796,0,0.00128428085709681,0.000830741765984169,0.00113518181250366,0.00127243302429956,0.00121699503560473,0.00119461104208044,0.00131789172545977,0.00089478975867109,0.00218812800794042,0.00228922017494152,0.000913874053699754,0.0141944769452349,0.0142129584431644,0.00824674935055865,0.00807722305819697,0.00718750153673661,0.00726113339504268,0.00146426900350584,0.00138035832455087
"Columbicola_passerinae_1",0.0146087856221096,0.0078181728790996,0.00840812712791829,0.00111972108765635,0.00261883235221595,0.00244643592913061,0.00285850722189246,0.00313821659000401,0.00265234953210065,0.00245952770511892,0.00254977117942404,0.00259300008920872,0.00233835094600371,0.00113865816162636,0.0015658073503198,0.00137104998365025,0.00128428085709681,0,0.00114546882266389,0.00106559261086539,0.00105427013413037,0.00107258525433416,0.00104066261206316,0.00110605339522438,0.00109330068616007,0.00236455803949733,0.00247754016740496,0.00108988892551753,0.0144997077375396,0.0144709587440471,0.0084720784826185,0.00832164812953956,0.00738147332149147,0.00744899819234099,0.00121330209993867,0.00117679772460466
"Columbicola_passerinae_1",0.0141666753298548,0.00775658448046244,0.00826412042246161,0.00116947590190001,0.00233610732423484,0.00210791301446726,0.00247287065441845,0.00279065045905913,0.00238508995125255,0.00205696035702544,0.00227921339818424,0.00223774460557781,0.00200865963855422,0.000712432953781269,0.00123755099563585,0.00148099502065978,0.000830741765984169,0.00114546882266389,0,0.000970420773302265,0.00116696953686985,0.00110488449838528,0.0010746854688045,0.00117273866924726,0.000741185953961818,0.00208218992061651,0.00213387294639481,0.000821148043168926,0.0140417135382477,0.0139802728144509,0.00830651778523109,0.00802681986891391,0.0072796276215916,0.00733739514481602,0.00135544091253839,0.00123665012140112
"Columbicola_passerinae_1",0.0144393783867657,0.00790750687753352,0.00844121605287253,0.000805851480495065,0.00262655431271513,0.00235855377770631,0.0026966322165935,0.0030703917529761,0.00259717016039512,0.00229402846298158,0.00248639866079122,0.00249159694766951,0.00222206150209454,0.000977789121880119,0.00136404216269651,0.00122053017265254,0.00113518181250366,0.00106559261086539,0.000970420773302265,0,0.000826627758882345,0.00081807877639881,0.000781691512045933,0.000812944044567568,0.000933382885635884,0.00228477783441554,0.00237446629296455,0.000914781814907862,0.0143284232605335,0.0142957091163146,0.00850261019912022,0.00824102706480427,0.00746447385621227,0.00750904174171748,0.000958485535969753,0.000900149167576341
"Columbicola_passerinae_1",0.0145213239365573,0.00761627806338821,0.00821326691669442,0.000768561557008277,0.00255185374496067,0.00239412785204232,0.00277201749751533,0.00300553346995739,0.00258437879812655,0.0023771906940752,0.00244859885732053,0.00252636954764614,0.00228065326076593,0.0011427562543593,0.0014769014742832,0.00114713167931428,0.00127243302429956,0.00105427013413037,0.00116696953686985,0.000826627758882345,0,0.000692102396356216,0.000649073000489212,0.000655105936009022,0.000987294369915289,0.00224262001347696,0.00240366058884377,0.00101398321857773,0.0143869760420189,0.0144001133725746,0.0082996388389024,0.00814539195094931,0.00716027196446104,0.00725175335933904,0.000809252550153499,0.000750038753606974
"Columbicola_passerinae_1",0.0145974577471839,0.00781382723604516,0.00840853138974312,0.000714166176934184,0.00258414656566452,0.00240969789738703,0.00278187247231357,0.00310511370717407,0.00261084363071877,0.0023787982181057,0.00248301481010802,0.00253078197909714,0.00227926023877606,0.00105717993449668,0.00150140175119249,0.00111563342811878,0.00121699503560473,0.00107258525433416,0.00110488449838528,0.00081807877639881,0.000692102396356216,0,0.000624897066089453,0.000696049146142141,0.000950581984163248,0.00225728945890194,0.0024260347212655,0.000968960796705342,0.0144777035273809,0.0144341592461651,0.00847978440231014,0.00826822595517172,0.00734586414220806,0.00743208538510473,0.000808563645777835,0.000778450675819588
"Columbicola_passerinae_1",0.014511696085018,0.00792547832027955,0.00850601110824682,0.000677480584044318,0.00261101228443074,0.00238015306911497,0.00278006734943416,0.00312162015233277,0.00262969872583654,0.00235643401889345,0.0024892190561387,0.00255103792229191,0.00229656488942691,0.00104622498188498,0.00141233610014095,0.00116575480226747,0.00119461104208044,0.00104066261206316,0.0010746854688045,0.000781691512045933,0.000649073000489212,0.000624897066089453,0,0.000624234308403521,0.000917832454368274,0.00231813655607497,0.00243731675544994,0.00099044124489823,0.0144060708832399,0.0143735367272338,0.00855124014160138,0.00832623684083958,0.00745274910049785,0.00755220276480443,0.00077145234532707,0.000724152357153443
"Columbicola_passerinae_1",0.0146080858973412,0.00770991166752994,0.00834923351452362,0.000739694902373774,0.00259940999438267,0.00245745784829432,0.00285052606697751,0.00306186862666944,0.00262004833195218,0.00241521049283246,0.00250812051426682,0.00254112926452235,0.00230892954215571,0.00112863624534685,0.00151036039348565,0.00119478096641946,0.00131789172545977,0.00110605339522438,0.00117273866924726,0.000812944044567568,0.000655105936009022,0.000696049146142141,0.000624234308403521,0,0.00104813464786887,0.00230780190773292,0.00246568925945009,0.00104129291180429,0.014477237423826,0.014482669734079,0.0084302937769822,0.0082768630943024,0.00726134649947322,0.007340921757931,0.000735149925044448,0.000705250939321294
"Columbicola_passerinae_1",0.0142023481767663,0.00773670225164328,0.00832876979512839,0.00104701605263336,0.00239431106471816,0.00216709357561006,0.00250995562421035,0.00284390934979322,0.00240708646254573,0.00211877359499901,0.00230338095080609,0.00228107784607385,0.00206724305715716,0.000783533480186646,0.0011757484181698,0.00130478038915075,0.00089478975867109,0.00109330068616007,0.000741185953961818,0.000933382885635884,0.000987294369915289,0.000950581984163248,0.000917832454368274,0.00104813464786887,0,0.00208868064692751,0.00217496193581938,0.000747643308592388,0.0141007293679291,0.0140625396014606,0.00838920486647331,0.00808266473170856,0.00728796197617773,0.00738528785486744,0.00115297793458112,0.00107650311208971
"Columbicola_passerinae_2",0.0138765391165433,0.00734547363916739,0.0079088964280312,0.00239761188936277,0.00096770731752838,0.000849462903483081,0.00117923973388521,0.0014019003963138,0.00097595845971317,0.000841499990448354,0.000880962926549108,0.000993598554765739,0.000716823682953764,0.00202517819861537,0.00251433007208819,0.00282413350449294,0.00218812800794042,0.00236455803949733,0.00208218992061651,0.00228477783441554,0.00224262001347696,0.00225728945890194,0.00231813655607497,0.00230780190773292,0.00208868064692751,0,0.000850950321783201,0.00212892568278436,0.013753550822407,0.0137406248505977,0.0079778326447704,0.0077174757446712,0.00690695952476501,0.0069506213149885,0.0025235317463289,0.0024247007215789
"Columbicola_passerinae_2",0.013933530546188,0.00728061270707861,0.00790265565659079,0.00255016454864027,0.00105601841875235,0.000887584289852393,0.00123009905683001,0.00150251054812043,0.00108340963211739,0.000871824596148502,0.000955801481394964,0.00102236045564702,0.000816170483114829,0.00208812414950665,0.00261905144747757,0.00290564585938251,0.00228922017494152,0.00247754016740496,0.00213387294639481,0.00237446629296455,0.00240366058884377,0.0024260347212655,0.00243731675544994,0.00246568925945009,0.00217496193581938,0.000850950321783201,0,0.00220281301316071,0.0138161925853932,0.0137879253267807,0.00794990953583729,0.00774832078784828,0.00682704811443433,0.00690913183340055,0.00267663749985972,0.00252390611144494
"Columbicola_passerinae_1",0.0142857142857143,0.00763152684533559,0.00821018218631186,0.00100550869509716,0.00236745291588445,0.00219496153081359,0.00255459116536428,0.00282426939898311,0.00237766520907489,0.00216127395307252,0.00226554288391209,0.00229900809965877,0.00207699224906417,0.000801120609427319,0.00121388361448434,0.00139591728170834,0.000913874053699754,0.00108988892551753,0.000821148043168926,0.000914781814907862,0.00101398321857773,0.000968960796705342,0.00099044124489823,0.00104129291180429,0.000747643308592388,0.00212892568278436,0.00220281301316071,0,0.0141513011651267,0.0141443875358697,0.00828585582171809,0.00803381450791571,0.00719526780847873,0.00726085468785644,0.00119706108707932,0.0011119672021992
"Columbicola_altamimiae",0.00129115126539514,0.0129512362283343,0.0136474939310902,0.0145358934344549,0.0140951984470647,0.01390274825131,0.0142827480399432,0.0145948607448069,0.0140689039483829,0.0138585102442638,0.0139282163451979,0.0139915813876071,0.0137115730506118,0.014068379338934,0.0146253256944928,0.014903570333928,0.0141944769452349,0.0144997077375396,0.0140417135382477,0.0143284232605335,0.0143869760420189,0.0144777035273809,0.0144060708832399,0.014477237423826,0.0141007293679291,0.013753550822407,0.0138161925853932,0.0141513011651267,0,0.00136920087202707,0.0137823092057894,0.0136287071085517,0.0125752581723304,0.0126636755139227,0.0146248390092524,0.0145714998464845
"Columbicola_altamimiae",0.00126182904107782,0.0129458078857988,0.0136701172308735,0.0145038799648645,0.0140557931600886,0.0138911193190943,0.0142744202389318,0.0146133089067726,0.0140386796376196,0.0138587077691404,0.0139311864841633,0.0139875032607278,0.0137031861293532,0.0140192957539546,0.0145943483834995,0.0149001451798784,0.0142129584431644,0.0144709587440471,0.0139802728144509,0.0142957091163146,0.0144001133725746,0.0144341592461651,0.0143735367272338,0.014482669734079,0.0140625396014606,0.0137406248505977,0.0137879253267807,0.0141443875358697,0.00136920087202707,0,0.0137994974540538,0.0136531495300217,0.0125782541168523,0.012652907950727,0.0145890816258342,0.0145497876917741
"Columbicola_gymnopeliae",0.0139018430480882,0.00639345471590819,0.000663267887154525,0.00870376761436272,0.00840624014272169,0.0079347557272089,0.00831122232189226,0.00875546677779854,0.00833220498279597,0.00784628039906351,0.00814919689498609,0.00807302950328908,0.00776963329100543,0.00797086073306799,0.00874771196159893,0.00917225109639926,0.00824674935055865,0.0084720784826185,0.00830651778523109,0.00850261019912022,0.0082996388389024,0.00847978440231014,0.00855124014160138,0.0084302937769822,0.00838920486647331,0.0079778326447704,0.00794990953583729,0.00828585582171809,0.0137823092057894,0.0137994974540538,0,0.00115301836997925,0.0059952986913184,0.00610526592074872,0.00868722154385893,0.00853153621422042
"Columbicola_gymnopeliae",0.0137280084613714,0.00594310064387494,0.00108667553428997,0.00845454997256851,0.00807591188276557,0.0077434142555858,0.00813225004233084,0.00853879201997118,0.00804251557114832,0.00772089622274872,0.00785800798714856,0.00786684749106152,0.0076114377076318,0.00782150800351434,0.00854496967300831,0.00888139784219219,0.00807722305819697,0.00832164812953956,0.00802681986891391,0.00824102706480427,0.00814539195094931,0.00826822595517172,0.00832623684083958,0.0082768630943024,0.00808266473170856,0.0077174757446712,0.00774832078784828,0.00803381450791571,0.0136287071085517,0.0136531495300217,0.00115301836997925,0,0.00552153673324194,0.00556278381910087,0.00848176181505755,0.00835834318140382
"Columbicola_drowni",0.0127184301306339,0.00133293645995145,0.00590270481222419,0.00766797214927322,0.0074186679473368,0.00683287585079439,0.00722724560171021,0.00764342438442075,0.00729233667416079,0.00673089739864577,0.00713497200182327,0.00697385101372017,0.00667238612354403,0.00686615281469471,0.00765315800655578,0.00805522259779002,0.00718750153673661,0.00738147332149147,0.0072796276215916,0.00746447385621227,0.00716027196446104,0.00734586414220806,0.00745274910049785,0.00726134649947322,0.00728796197617773,0.00690695952476501,0.00682704811443433,0.00719526780847873,0.0125752581723304,0.0125782541168523,0.0059952986913184,0.00552153673324194,0,0.00132055210853761,0.00752232178435511,0.0073619782357097
"Columbicola_drowni",0.0127642769098574,0.00164259715536247,0.00597665352213658,0.00777138217511708,0.00748683990253157,0.00688253573062106,0.00727946547683178,0.00770281406421682,0.00735975214266871,0.00679482660966424,0.00721087483134446,0.00702914076725058,0.00675275208354986,0.00693375882116625,0.00772228841836128,0.00816165585577461,0.00726113339504268,0.00744899819234099,0.00733739514481602,0.00750904174171748,0.00725175335933904,0.00743208538510473,0.00755220276480443,0.007340921757931,0.00738528785486744,0.0069506213149885,0.00690913183340055,0.00726085468785644,0.0126636755139227,0.012652907950727,0.00610526592074872,0.00556278381910087,0.00132055210853761,0,0.007615772247521,0.00745243392021877
"Columbicola_passerinae_1",0.0147274565006606,0.00797112012575521,0.00861342299691423,0.000867205020356699,0.00281243413435246,0.00265284393703466,0.00301414850304789,0.00327904751476952,0.00285008136011115,0.00264243907498456,0.00273882133561245,0.00274859462438321,0.00251172824070791,0.00127009970471124,0.0017310141446164,0.00130753764319453,0.00146426900350584,0.00121330209993867,0.00135544091253839,0.000958485535969753,0.000809252550153499,0.000808563645777835,0.00077145234532707,0.000735149925044448,0.00115297793458112,0.0025235317463289,0.00267663749985972,0.00119706108707932,0.0146248390092524,0.0145890816258342,0.00868722154385893,0.00848176181505755,0.00752232178435511,0.007615772247521,0,0.000506443134004666
"Columbicola_passerinae_1",0.0147086060152511,0.00783024221860914,0.00845006361980728,0.000816754129846446,0.00267098560116335,0.00251617439561321,0.00291225319947946,0.00316427259013397,0.00266935426101768,0.00250449071219546,0.00256273535200325,0.00261780104712042,0.00242031753890935,0.00122303547560177,0.00162317251289226,0.00122400550754403,0.00138035832455087,0.00117679772460466,0.00123665012140112,0.000900149167576341,0.000750038753606974,0.000778450675819588,0.000724152357153443,0.000705250939321294,0.00107650311208971,0.0024247007215789,0.00252390611144494,0.0011119672021992,0.0145714998464845,0.0145497876917741,0.00853153621422042,0.00835834318140382,0.0073619782357097,0.00745243392021877,0.000506443134004666,0
